地区,国家预算内资金,国内贷款,利用外资,自筹资金,其他投资,中央项目,地方项目
北京,68.89,40.13,40.99,139.74,31.65,189.23,124.62
天津,3.24,30.43,54.93,62.30,13.07,68.75,100.84
河北,15.98,55.06,56.53,183.17,50.72,123.39,251.75
山西,5.91,49.51,6.77,70.91,14.42,58.69,89.43
内蒙古,7.71,51.93,3.06,51.44,16.62,66.03,73.43
辽宁,18.42,80.33,34.75,144.37,27.44,139.09,187.24
吉林,3.93,50.61,36.74,66.29,15.57,116.95,77.45
黑龙江,10.05,69.73,21.43,88.19,34.63,113.65,118.55
上海,24.13,91.84,111.03,364.01,43.02,231.24,413.28
江苏,18.63,73.15,99.15,245.86,42.73,118.06,350.94
浙江,13.91,78.08,71.75,223.82,44.63,86.39,337.85
安徽,16.41,61.21,22.82,72.27,17.90,75.13,117.93
福建,8.06,58.56,32.68,107.47,23.48,31.94,209.25
江西,11.51,23.08,7.70,52.90,13.70,44.08,70.45
山东,22.83,75.25,85.12,225.72,41.91,143.99,307.63
河南,25.67,86.99,67.78,163.01,53.74,134.03,261.63
湖北,59.43,105.76,46.38,151.87,32.53,194.97,203.48
湖南,10.91,48.34,12.13,117.08,35.17,86.71,148.68
广东,15.02,134.90,188.72,451.44,77.98,170.03,735.20
广西,9.66,34.88,11.26,92.93,23.15,32.90,141.56
海南,3.74,17.18,34.28,50.87,12.02,8.35,129.81
四川,26.46,130.70,39.45,169.07,59.40,153.30,264.63
贵州,4.34,40.36,7.91,30.53,5.81,24.81,60.87
云南,8.65,36.52,8.61,96.61,18.71,30.60,137.70
西藏,7.32,4.73,0.03,13.76,3.14,6.28,22.45
陕西,17.52,31.49,7.33,56.44,19.83,55.40,79.88
甘肃,7.14,42.37,11.88,27.35,10.73,67.25,34.17
青海,2.10,25.21,2.16,13.33,7.76,26.65,24.74
宁夏,3.47,14.65,1.07,11.71,5.39,17.29,20.18
新疆,9.56,40.67,25.14,103.98,24.59,124.98,87.90
不分地区,63.79,255.23,85.84,130.40,143.54,639.17,47.97
