地区,国家预算内资金,国内贷款,利用外资,自筹资金,其他投资,中央项目,地方项目
北京,119.81,74.58,23.95,214.84,27.67,254.60,190.72
天津,9.28,76.41,48.68,79.52,20.31,124.06,138.98
河北,36.49,128.18,32.05,254.43,101.26,129.77,451.59
山西,15.83,79.79,54.28,69.59,44.92,100.87,164.20
内蒙古,29.39,37.40,12.44,52.86,35.61,34.97,137.34
辽宁,63.55,107.09,32.36,165.51,39.01,163.45,258.24
吉林,32.12,42.24,5.65,92.82,37.31,63.28,166.92
黑龙江,38.53,66.30,13.90,129.75,77.86,80.91,259.11
上海,33.44,131.11,121.34,352.64,67.42,185.44,601.37
江苏,52.28,142.17,49.04,376.01,51.26,125.31,584.11
浙江,59.91,174.87,60.61,313.11,53.85,189.02,491.33
安徽,34.74,50.44,4.81,107.67,37.41,70.09,202.22
福建,33.34,66.49,42.29,126.12,45.78,53.66,310.00
江西,33.59,42.56,5.82,59.48,25.63,40.71,132.44
山东,48.74,193.71,46.69,299.76,64.58,174.57,538.43
河南,77.34,120.98,31.58,190.61,90.27,195.91,311.96
湖北,90.09,119.13,16.91,194.80,97.76,264.73,293.05
湖南,55.73,61.45,10.81,133.15,55.55,96.68,229.88
广东,39.63,260.53,167.29,570.33,78.54,158.38,1033.31
广西,30.50,49.29,25.91,104.32,49.44,40.35,219.30
海南,12.54,33.60,20.31,58.59,16.98,22.00,115.75
重庆,38.08,52.60,4.64,58.78,28.96,33.39,157.18
四川,34.11,152.75,34.51,218.96,81.20,131.16,420.67
贵州,21.92,38.89,8.66,46.13,15.01,24.65,105.76
云南,28.32,89.04,5.57,131.33,39.79,60.38,260.54
西藏,24.28,1.84,0.02,16.45,5.32,7.25,38.79
陕西,47.99,70.94,6.93,86.81,53.57,80.94,198.41
甘肃,25.07,53.85,5.13,56.26,35.60,62.35,125.14
青海,10.99,27.25,0.68,19.96,12.14,30.22,42.54
宁夏,13.25,19.48,2.04,23.02,7.50,15.89,53.21
新疆,43.10,85.72,6.65,133.52,49.46,194.72,138.03
不分地区,244.91,321.39,162.61,120.03,20.26,837.08,37.96
