地区,国家预算内资金,国内贷款,利用外资,自筹资金,其他投资,中央项目,地方项目
北京,77.82,61.19,44.27,178.13,28.91,223.37,150.95
天津,9.25,43.99,59.88,65.69,5.21,82.70,120.73
河北,18.61,73.95,64.46,236.93,58.68,146.97,332.43
山西,7.76,76.39,10.83,79.14,22.47,103.07,94.29
内蒙古,4.60,67.22,1.88,50.26,25.84,85.13,72.26
辽宁,23.68,81.74,89.30,142.35,37.52,157.38,239.95
吉林,5.23,38.77,23.17,76.58,19.71,81.58,95.91
黑龙江,8.96,100.02,17.85,172.25,35.03,194.74,149.59
上海,21.98,168.48,124.48,406.53,54.96,238.06,523.94
江苏,22.79,73.26,114.64,282.41,45.04,161.30,406.22
浙江,22.96,73.95,86.71,253.53,55.92,136.15,373.46
安徽,21.18,55.96,39.65,100.28,18.40,67.27,146.81
福建,8.55,54.28,50.39,127.53,23.37,46.90,227.27
江西,7.64,30.81,4.00,63.85,18.44,31.67,98.59
山东,19.36,90.47,70.28,277.22,33.92,146.22,367.35
河南,44.67,90.60,59.80,168.11,60.66,136.43,306.92
湖北,63.12,86.65,24.12,191.92,41.48,221.27,214.32
湖南,14.28,48.29,16.33,106.63,33.99,85.33,151.71
广东,13.98,92.95,254.15,471.10,55.01,131.93,759.14
广西,8.03,27.54,12.11,108.17,20.13,25.76,157.21
海南,4.12,20.06,32.81,56.88,9.68,12.79,114.11
重庆,8.33,24.30,17.17,50.12,17.32,33.65,87.22
四川,21.01,130.46,37.44,176.22,49.59,179.43,249.15
贵州,5.82,34.07,4.22,32.59,9.03,36.71,59.12
云南,14.40,52.53,11.50,115.41,20.71,29.43,196.35
西藏,7.91,5.36,0.38,13.36,3.89,9.46,20.81
陕西,21.46,48.41,16.10,63.42,25.12,72.57,101.37
甘肃,7.96,42.99,8.41,43.35,10.18,76.17,45.56
青海,3.51,27.86,0.87,18.78,6.63,33.02,25.38
宁夏,3.92,19.31,1.33,16.59,6.88,22.14,25.14
新疆,24.12,49.05,8.88,149.84,18.79,143.35,112.61
不分地区,27.50,348.94,44.52,137.08,163.62,706.26,32.95
