地区,国家预算内资金,国内贷款,利用外资,自筹资金,其他投资,中央项目,地方项目
北京,86.67,58.65,36.86,221.07,22.87,250.66,164.86
天津,13.51,53.23,59.62,80.49,20.44,86.06,176.47
河北,24.25,119.73,52.49,239.87,84.71,155.62,388.43
山西,7.63,89.25,22.63,77.68,45.94,103.30,151.77
内蒙古,15.49,51.49,2.69,54.16,40.46,58.01,114.84
辽宁,36.37,90.76,49.72,166.85,64.02,164.68,273.39
吉林,9.36,48.24,12.68,67.40,54.10,67.77,132.99
黑龙江,18.27,71.57,17.28,137.79,60.23,105.21,203.28
上海,39.19,176.65,149.73,401.77,62.48,183.23,660.92
江苏,32.56,107.06,102.70,340.72,65.02,170.54,542.12
浙江,23.85,115.19,86.03,315.20,61.08,181.40,438.06
安徽,15.13,61.86,19.28,102.02,34.51,51.52,199.92
福建,22.12,69.74,120.46,143.89,29.70,69.51,274.13
江西,16.49,40.28,16.41,73.65,28.49,39.64,133.38
山东,31.86,147.83,86.70,276.03,77.47,166.07,474.96
河南,64.41,125.53,50.85,196.32,78.36,156.29,361.77
湖北,78.12,140.04,19.94,189.22,78.86,251.32,266.34
湖南,24.75,57.45,18.62,125.00,68.68,79.46,227.10
广东,32.38,156.63,216.11,552.31,64.26,168.50,871.41
广西,20.90,39.80,29.20,109.13,28.55,29.32,211.21
海南,11.12,24.08,29.10,59.43,10.93,16.33,119.42
重庆,10.63,58.36,8.64,68.19,46.69,49.91,136.33
四川,31.32,157.58,33.40,210.95,82.43,173.64,356.53
贵州,12.03,51.04,4.43,45.61,16.22,29.48,96.52
云南,19.29,86.25,2.92,140.02,43.71,40.64,257.24
西藏,17.21,2.59,0.14,11.67,5.39,9.70,25.58
陕西,39.49,61.49,12.73,88.65,42.37,98.59,152.42
甘肃,25.07,49.86,4.39,51.41,28.26,68.19,88.95
青海,4.46,30.22,2.82,21.80,16.11,37.66,35.25
宁夏,4.77,17.09,2.53,20.99,11.23,17.68,40.70
新疆,33.19,87.81,10.77,145.35,34.93,185.77,146.32
不分地区,199.42,367.00,163.90,135.62,52.71,857.22,70.92
