地区,国家预算内资金,国内贷款,利用外资,自筹资金,其他投资,中央项目,地方项目
北京,92.56,87.11,14.23,214.76,24.95,182.22,264.76
天津,16.47,49.70,67.89,122.90,18.05,127.68,152.68
河北,32.66,145.23,25.84,268.36,89.11,157.13,467.35
山西,28.18,65.65,27.86,76.10,44.56,107.70,170.80
内蒙古,35.79,48.21,12.89,80.90,38.45,27.58,201.83
辽宁,58.01,124.70,39.28,172.18,43.60,132.90,318.46
吉林,26.67,66.37,14.44,105.19,40.61,69.06,207.59
黑龙江,30.95,77.75,13.42,148.70,80.64,110.79,269.04
上海,33.30,141.26,71.42,309.24,40.23,145.21,558.29
江苏,52.43,193.09,42.44,355.07,44.12,147.82,603.48
浙江,49.07,213.67,79.54,382.99,66.94,190.41,630.57
安徽,39.60,67.29,12.48,120.27,36.58,45.14,272.87
福建,37.48,80.60,31.87,113.13,32.25,38.66,295.93
江西,40.14,65.09,4.84,64.19,24.05,68.89,129.72
山东,46.71,231.34,31.21,373.65,68.60,193.34,568.89
河南,72.42,150.51,26.71,238.43,82.14,208.80,377.36
湖北,102.98,156.52,16.50,191.32,91.57,280.31,320.13
湖南,45.66,95.14,7.98,135.33,44.92,114.93,252.49
广东,33.61,249.06,154.70,580.17,67.68,128.79,1004.54
广西,36.97,73.86,12.67,102.96,36.95,71.48,196.06
海南,13.22,25.52,29.28,64.39,17.37,18.33,113.68
重庆,50.00,53.27,2.21,71.25,30.77,28.70,186.88
四川,40.31,180.60,35.58,261.39,84.73,133.53,503.40
贵州,26.82,56.38,6.96,48.71,15.42,35.86,112.13
云南,33.80,83.92,2.39,148.51,36.32,103.13,238.78
西藏,37.17,2.12,0.02,13.23,6.01,9.91,44.77
陕西,43.48,71.92,12.43,103.75,55.83,70.23,233.33
甘肃,29.89,72.11,4.85,57.98,38.15,65.73,142.55
青海,21.14,26.31,1.50,23.10,21.39,42.95,56.04
宁夏,15.17,35.52,1.97,22.79,8.39,19.65,66.56
新疆,42.78,94.84,8.52,185.76,42.81,234.37,158.37　
不分地区,328.66,501.68,38.28,76.45,23.59,979.67,17.02
